Local,Visitante,Año,GolesLocal,GolesVisita,GolesTotales
Francia,México,1930,4,1,5
Argentina,Francia,1930,1,0,1
Chile,México,1930,3,0,3
Chile,Francia,1930,1,0,1
Argentina,México,1930,6,3,9
Argentina,Chile,1930,3,1,4
Yugoslavia,Brasil,1930,2,1,3
Yugoslavia,Bolivia,1930,4,0,4
Brasil,Bolivia,1930,4,0,4
Rumania,Perú,1930,3,1,4
Uruguay,Perú,1930,1,0,1
Uruguay,Rumania,1930,4,0,4
Estados Unidos,Bélgica,1930,3,0,3
Estados Unidos,Paraguay,1930,3,0,3
Paraguay,Bélgica,1930,1,0,1
Argentina,Estados Unidos,1930,6,1,7
Uruguay,Yugoslavia,1930,6,1,7
Uruguay,Argentina,1930,4,2,6
Suecia,Argentina,1934,3,2,5
Alemania,Bélgica,1934,5,2,7
Suiza,Países Bajos,1934,3,2,5
Checoslovaquia,Rumania,1934,2,1,3
Hungría,Egipto,1934,4,2,6
Austria,Francia,1934,3,2,5
España,Brasil,1934,3,1,4
Italia,Estados Unidos,1934,7,1,8
Alemania,Suecia,1934,2,1,3
Checoslovaquia,Suiza,1934,3,2,5
Austria,Hungría,1934,2,1,3
Italia,España,1934,1,1,2
Italia,España,1934,1,0,1
Checoslovaquia,Alemania,1934,3,1,4
Italia,Austria,1934,1,0,1
Alemania,Austria,1934,3,2,5
Italia,Checoslovaquia,1934,2,1,3
Suiza,Alemania,1938,1,1,2
Francia,Bélgica,1938,3,1,4
Italia,Noruega,1938,2,1,3
Brasil,Polonia,1938,6,5,11
Checoslovaquia,Países Bajos,1938,3,0,3
Cuba,Rumania,1938,3,3,6
Hungría,Indias Orientales Neerlandesas,1938,6,0,6
Cuba,Rumania,1938,2,1,3
Suiza,Alemania,1938,4,2,6
Italia,Francia,1938,3,1,4
Brasil,Checoslovaquia,1938,1,1,2
Hungría,Suiza,1938,2,0,2
Suecia,Cuba,1938,8,0,8
Brasil,Checoslovaquia,1938,2,1,3
Hungría,Suecia,1938,5,1,6
Italia,Brasil,1938,2,1,3
Brasil,Suecia,1938,4,2,6
Italia,Hungría,1938,4,2,6
Brasil,México,1950,4,0,4
Yugoslavia,Suiza,1950,3,0,3
Brasil,Suiza,1950,2,2,4
Yugoslavia,México,1950,4,1,5
Brasil,Yugoslavia,1950,2,0,2
Suiza,México,1950,2,1,3
España,Estados Unidos,1950,3,1,4
Inglaterra,Chile,1950,2,0,2
España,Chile,1950,2,0,2
Estados Unidos,Inglaterra,1950,1,0,1
España,Inglaterra,1950,1,0,1
Chile,Estados Unidos,1950,5,2,7
Suecia,Italia,1950,3,2,5
Suecia,Paraguay,1950,2,2,4
Italia,Paraguay,1950,2,0,2
Uruguay,Bolivia,1950,8,0,8
Brasil,Suecia,1950,7,1,8
Uruguay,España,1950,2,2,4
Uruguay,Suecia,1950,3,2,5
Brasil,España,1950,6,1,7
Suecia,España,1950,3,1,4
Brasil,Uruguay,1950,1,2,3
Yugoslavia,Francia,1954,1,0,1
Brasil,México,1954,5,0,5
Brasil,Yugoslavia,1954,1,1,2
Francia,México,1954,3,2,5
Alemania Federal,Turquía,1954,4,1,5
Hungría,Corea del Sur,1954,9,0,9
Hungría,Alemania Federal,1954,8,3,11
Turquía,Corea del Sur,1954,7,0,7
Alemania Federal,Turquía,1954,7,2,9
Austria,Escocia,1954,1,0,1
Uruguay,Checoslovaquia,1954,2,0,2
Uruguay,Escocia,1954,7,0,7
Austria,Checoslovaquia,1954,5,0,5
Suiza,Italia,1954,2,1,3
Inglaterra,Bélgica,1954,4,4,8
Italia,Bélgica,1954,4,1,5
Inglaterra,Suiza,1954,2,0,2
Suiza,Italia,1954,4,1,5
Austria,Suiza,1954,7,5,12
Uruguay,Inglaterra,1954,4,2,6
Hungría,Brasil,1954,4,2,6
Alemania Federal,Yugoslavia,1954,2,0,2
Hungría,Uruguay,1954,4,2,6
Alemania Federal,Austria,1954,6,1,7
Austria,Uruguay,1954,3,1,4
Alemania Federal,Hungría,1954,3,2,5
Argentina,Alemania Federal,1958,1,3,4
Irlanda del Norte,Checoslovaquia,1958,1,0,1
Argentina,Irlanda del Norte,1958,3,1,4
Alemania Federal,Checoslovaquia,1958,2,2,4
Checoslovaquia,Argentina,1958,6,1,7
Alemania Federal,Irlanda del Norte,1958,2,2,4
Irlanda del Norte,Checoslovaquia,1958,2,1,3
Yugoslavia,Escocia,1958,1,1,2
Francia,Paraguay,1958,7,3,10
Yugoslavia,Francia,1958,3,2,5
Paraguay,Escocia,1958,3,2,5
Paraguay,Yugoslavia,1958,3,3,6
Francia,Escocia,1958,2,1,3
Suecia,México,1958,3,0,3
Hungría,Gales,1958,1,1,2
México,Gales,1958,1,1,2
Suecia,Hungría,1958,2,1,3
Suecia,Gales,1958,0,0,0
Hungría,México,1958,4,0,4
Gales,Hungría,1958,2,1,3
Unión Soviética,Inglaterra,1958,2,2,4
Brasil,Austria,1958,3,0,3
Unión Soviética,Austria,1958,2,0,2
Brasil,Inglaterra,1958,0,0,0
Brasil,Unión Soviética,1958,2,0,2
Inglaterra,Austria,1958,2,2,4
Unión Soviética,Inglaterra,1958,1,0,1
Brasil,Gales,1958,1,0,1
Francia,Irlanda del Norte,1958,4,0,4
Alemania Federal,Yugoslavia,1958,1,0,1
Suecia,Unión Soviética,1958,2,0,2
Suecia,Alemania Federal,1958,3,1,4
Brasil,Francia,1958,5,2,7
Francia,Alemania Federal,1958,6,3,9
Suecia,Brasil,1958,2,5,7
Uruguay,Colombia,1962,2,1,3
Unión Soviética,Yugoslavia,1962,2,0,2
Yugoslavia,Uruguay,1962,3,1,4
Unión Soviética,Colombia,1962,4,4,8
Unión Soviética,Uruguay,1962,2,1,3
Yugoslavia,Colombia,1962,5,0,5
Chile,Suiza,1962,3,1,4
Alemania Federal,Italia,1962,0,0,0
Chile,Italia,1962,2,0,2
Alemania Federal,Suiza,1962,2,1,3
Alemania Federal,Chile,1962,2,0,2
Italia,Suiza,1962,3,0,3
Brasil,México,1962,2,0,2
Checoslovaquia,España,1962,1,0,1
Brasil,Checoslovaquia,1962,0,0,0
España,México,1962,1,0,1
Brasil,España,1962,2,1,3
México,Checoslovaquia,1962,3,1,4
Argentina,Bulgaria,1962,1,0,1
Hungría,Inglaterra,1962,2,1,3
Inglaterra,Argentina,1962,3,1,4
Hungría,Bulgaria,1962,6,1,7
Hungría,Argentina,1962,0,0,0
Inglaterra,Bulgaria,1962,0,0,0
Chile,Unión Soviética,1962,2,1,3
Brasil,Inglaterra,1962,3,1,4
Checoslovaquia,Hungría,1962,1,0,1
Yugoslavia,Alemania Federal,1962,1,0,1
Brasil,Chile,1962,4,2,6
Checoslovaquia,Yugoslavia,1962,3,1,4
Chile,Yugoslavia,1962,1,0,1
Brasil,Checoslovaquia,1962,3,1,4
Inglaterra,Uruguay,1966,0,0,0
Francia,México,1966,1,1,2
Uruguay,Francia,1966,2,1,3
Inglaterra,México,1966,2,0,2
Uruguay,México,1966,0,0,0
Inglaterra,Francia,1966,2,0,2
Alemania Federal,Suiza,1966,5,0,5
Argentina,España,1966,2,1,3
España,Suiza,1966,2,1,3
Alemania Federal,Argentina,1966,0,0,0
Argentina,Suiza,1966,2,0,2
Alemania Federal,España,1966,2,1,3
Brasil,Bulgaria,1966,2,0,2
Portugal,Hungría,1966,3,1,4
Hungría,Brasil,1966,3,1,4
Portugal,Bulgaria,1966,3,0,3
Portugal,Brasil,1966,3,1,4
Hungría,Bulgaria,1966,3,1,4
Unión Soviética,Corea del Norte,1966,3,0,3
Italia,Chile,1966,2,0,2
Corea del Norte,Chile,1966,1,1,2
Unión Soviética,Italia,1966,1,0,1
Corea del Norte,Italia,1966,1,0,1
Unión Soviética,Chile,1966,2,1,3
Unión Soviética,Hungría,1966,2,1,3
Alemania Federal,Uruguay,1966,4,0,4
Portugal,Corea del Norte,1966,5,3,8
Inglaterra,Argentina,1966,1,0,1
Alemania Federal,Unión Soviética,1966,2,1,3
Inglaterra,Portugal,1966,2,1,3
Portugal,Unión Soviética,1966,2,1,3
Inglaterra,Alemania Federal,1966,4,2,6
México,Unión Soviética,1970,0,0,0
Bélgica,El Salvador,1970,3,0,3
Unión Soviética,Bélgica,1970,4,1,5
México,El Salvador,1970,4,0,4
Unión Soviética,El Salvador,1970,2,0,2
México,Bélgica,1970,1,0,1
Uruguay,Israel,1970,2,0,2
Italia,Suecia,1970,1,0,1
Uruguay,Italia,1970,0,0,0
Suecia,Israel,1970,1,1,2
Suecia,Uruguay,1970,1,0,1
