,Primer Lugar,Segundo Lugar,Tercer Lugar,Cuarto Lugar
0,Brasil,Argentina,Países Bajos,Portugal
1,Brasil,Países Bajos,Francia,Portugal
2,Brasil,Argentina,Países Bajos,Portugal
3,Brasil,Países Bajos,Francia,Portugal
4,Brasil,Países Bajos,Francia,Portugal
5,Brasil,Países Bajos,Francia,Portugal
6,Brasil,Países Bajos,Francia,Portugal
7,Brasil,Países Bajos,Francia,Portugal
8,Brasil,Países Bajos,Francia,Portugal
9,Brasil,Países Bajos,Francia,Portugal
10,Brasil,Argentina,Países Bajos,Portugal
11,Brasil,Países Bajos,Francia,Portugal
12,Brasil,Países Bajos,Francia,Portugal
13,Brasil,Argentina,Países Bajos,Portugal
14,Brasil,Argentina,Países Bajos,Portugal
15,Brasil,Países Bajos,Francia,Portugal
16,Brasil,Países Bajos,Francia,Portugal
17,Brasil,Países Bajos,Francia,Portugal
18,Brasil,Argentina,Países Bajos,Portugal
19,Brasil,Países Bajos,Francia,Portugal
20,Brasil,Países Bajos,Francia,Portugal
21,Brasil,Países Bajos,Francia,Portugal
22,Brasil,Países Bajos,Francia,Portugal
23,Brasil,Argentina,Países Bajos,Portugal
24,Brasil,Países Bajos,Francia,Portugal
25,Brasil,Países Bajos,Francia,Portugal
26,Brasil,Países Bajos,Francia,Portugal
27,Brasil,Argentina,Países Bajos,Portugal
28,Brasil,Países Bajos,Francia,Portugal
29,Brasil,Países Bajos,Francia,Portugal
30,Brasil,Argentina,Francia,Portugal
31,Brasil,Países Bajos,Francia,Portugal
32,Brasil,Países Bajos,Francia,Portugal
33,Brasil,Países Bajos,Francia,Portugal
34,Brasil,Argentina,Francia,Portugal
35,Brasil,Argentina,Francia,Portugal
36,Brasil,Argentina,Francia,Portugal
37,Brasil,Países Bajos,Francia,Portugal
38,Brasil,Países Bajos,Francia,Portugal
39,Brasil,Argentina,Países Bajos,Portugal
40,Brasil,Países Bajos,Francia,Portugal
41,Brasil,Argentina,Países Bajos,Portugal
42,Brasil,Países Bajos,Francia,Portugal
43,Brasil,Países Bajos,Francia,Portugal
44,Brasil,Países Bajos,Francia,Portugal
45,Brasil,Argentina,Países Bajos,Portugal
46,Brasil,Países Bajos,Francia,Portugal
47,Brasil,Países Bajos,Francia,Portugal
48,Brasil,Países Bajos,Francia,Portugal
49,Brasil,Países Bajos,Francia,Portugal
50,Brasil,Países Bajos,Francia,Portugal
51,Brasil,Países Bajos,Francia,Portugal
52,Brasil,Países Bajos,Francia,Portugal
53,Brasil,Argentina,Países Bajos,Portugal
54,Brasil,Argentina,Francia,Portugal
55,Brasil,Argentina,Países Bajos,Portugal
56,Brasil,Países Bajos,Francia,Portugal
57,Brasil,Países Bajos,Francia,Portugal
58,Brasil,Países Bajos,Francia,Portugal
59,Brasil,Argentina,Francia,Portugal
60,Brasil,Países Bajos,Francia,Portugal
61,Brasil,Argentina,Países Bajos,Portugal
62,Brasil,Países Bajos,Francia,Portugal
63,Brasil,Países Bajos,Francia,Portugal
64,Brasil,Países Bajos,Francia,Portugal
65,Brasil,Argentina,Países Bajos,Portugal
66,Brasil,Países Bajos,Francia,Portugal
67,Brasil,Países Bajos,Francia,Portugal
68,Brasil,Países Bajos,Francia,Portugal
69,Brasil,Países Bajos,Francia,Portugal
70,Brasil,Argentina,Países Bajos,Portugal
71,Brasil,Países Bajos,Francia,Portugal
72,Brasil,Países Bajos,Francia,Portugal
73,Brasil,Países Bajos,Francia,Portugal
74,Brasil,Argentina,Francia,Portugal
75,Brasil,Países Bajos,Francia,Portugal
76,Brasil,Países Bajos,Francia,Portugal
77,Brasil,Argentina,Países Bajos,Portugal
78,Brasil,Países Bajos,Francia,Portugal
79,Brasil,Países Bajos,Francia,Portugal
