Local,Visitante,Marcador,Año
Francia,México,4:1 (3:0),1930
Argentina ,Francia,1:0 (0:0),1930
Chile,México,3:0 (1:0),1930
Chile,Francia,1:0 (0:0),1930
Argentina ,México,6:3 (3:1),1930
Argentina ,Chile,3:1 (2:1),1930
Yugoslavia,Brasil,2:1 (2:0),1930
Yugoslavia,Bolivia,4:0 (0:0),1930
Brasil,Bolivia,4:0 (1:0),1930
Rumania,Perú,3:1 (1:0),1930
Uruguay,Perú,1:0 (0:0),1930
Uruguay,Rumania,4:0 (4:0),1930
Estados Unidos,Bélgica,3:0 (2:0),1930
Estados Unidos,Paraguay,3:0 (2:0),1930
Paraguay,Bélgica,1:0 (1:0),1930
Argentina ,Estados Unidos,6:1 (1:0),1930
Uruguay ,Yugoslavia,6:1 (3:1),1930
Uruguay, Argentina,4:2 (1:2),1930
Suecia,Argentina,3:2 (1:1),1934
Alemania,Bélgica,5:2 (1:2),1934
Suiza,Países Bajos,3:2 (2:1),1934
Checoslovaquia,Rumania,2:1 (0:1),1934
Hungría,Egipto,4:2 (2:2),1934
Austria,Francia,"3:2 (1:1, 1:1) (t. s.)",1934
España,Brasil,3:1 (3:0),1934
Italia,Estados Unidos,7:1 (3:0),1934
Alemania,Suecia,2:1 (0:0),1934
Checoslovaquia,Suiza,3:2 (1:1),1934
Austria,Hungría,2:1 (1:0),1934
Italia,España,"1:1 (1:1, 1:1) (t. s.)",1934
Italia,España,1:0 (1:0),1934
Checoslovaquia,Alemania,3:1 (1:0),1934
Italia,Austria,1:0 (1:0),1934
Alemania,Austria,3:2 (3:1),1934
Italia,Checoslovaquia,"2:1 (1:1, 1:0) (t. s.)",1934
Suiza,Alemania,"1:1 (1:1, 1:1) (t. s.)",1938
Francia,Bélgica,3:1 (2:1),1938
Italia,Noruega,"2:1 (1:1, 1:1) (t. s.)",1938
Brasil,Polonia,"6:5 (4:4, 3:1) (t. s.)",1938
Checoslovaquia,Países Bajos,"3:0 (0:0, 3:0) (t. s.)",1938
Cuba,Rumania,"3:3 (2:2, 1:1) (t. s.)",1938
Hungría,Indias Orientales Neerlandesas,6:0 (4:0),1938
Cuba,Rumania,2:1 (0:1),1938
Suiza,Alemania,4:2 (1:2),1938
Italia,Francia,3:1 (1:1),1938
Brasil,Checoslovaquia,"1:1 (1:1, 1:0) (t. s.)",1938
Hungría,Suiza,2:0 (1:0),1938
Suecia,Cuba,8:0 (4:0),1938
Brasil,Checoslovaquia,2:1 (0:1),1938
Hungría,Suecia,5:1 (3:1),1938
Italia,Brasil,2:1 (0:0),1938
Brasil,Suecia,4:2 (1:2),1938
Italia,Hungría,4:2 (3:1),1938
Brasil,México,4:0 (1:0),1950
Yugoslavia,Suiza,3:0 (0:0),1950
Brasil,Suiza,2:2 (2:1),1950
Yugoslavia,México,4:1 (2:0),1950
Brasil,Yugoslavia,2:0 (1:0),1950
Suiza,México,2:1 (2:0),1950
España,Estados Unidos,3:1 (0:1),1950
Inglaterra,Chile,2:0 (1:0),1950
España,Chile,2:0 (2:0),1950
Estados Unidos,Inglaterra,1:0 (1:0),1950
España,Inglaterra,1:0 (0:0),1950
Chile,Estados Unidos,5:2 (2:0),1950
Suecia,Italia,3:2 (2:1),1950
Suecia,Paraguay,2:2 (2:1),1950
Italia,Paraguay,2:0 (1:0),1950
Uruguay,Bolivia,8:0 (4:0),1950
Brasil,Suecia,7:1 (3:0),1950
Uruguay,España,2:2 (1:2),1950
Uruguay,Suecia,3:2 (1:2),1950
Brasil,España,6:1 (3:0),1950
Suecia,España,3:1 (2:0),1950
Brasil,Uruguay,1:2 (0:0),1950
Yugoslavia,Francia,1:0 (1:0),1954
Brasil,México,5:0 (4:0),1954
Brasil,Yugoslavia,"1:1 (1:1, 0:0) (t. s.)",1954
Francia,México,3:2 (1:0),1954
Alemania Federal,Turquía,4:1 (1:1),1954
Hungría,Corea del Sur,9:0 (4:0),1954
Hungría,Alemania Federal,8:3 (3:1),1954
Turquía,Corea del Sur,7:0 (4:0),1954
Alemania Federal,Turquía,7:2 (3:1),1954
Austria , Escocia,1:0 (1:0),1954
Uruguay,Checoslovaquia,2:0 (0:0),1954
Uruguay , Escocia,7:0 (2:0),1954
Austria,Checoslovaquia,5:0 (4:0),1954
Suiza,Italia,2:1 (1:1),1954
Inglaterra,Bélgica,"4:4 (3:3, 2:1) (t. s.)",1954
Italia,Bélgica,4:1 (1:0),1954
Inglaterra,Suiza,2:0 (1:0),1954
Suiza,Italia,4:1 (1:0),1954
Austria,Suiza,7:5 (5:4),1954
Uruguay,Inglaterra,4:2 (2:1),1954
Hungría,Brasil,4:2 (2:1),1954
Alemania Federal,Yugoslavia,2:0 (1:0),1954
Hungría,Uruguay,"4:2 (2:2, 1:0) (t. s.)",1954
Alemania Federal,Austria,6:1 (1:0),1954
Austria,Uruguay,3:1 (1:1),1954
Alemania Federal,Hungría,3:2 (2:2),1954
Argentina,Alemania Federal,1:3 (1:2),1958
Irlanda del Norte,Checoslovaquia,1:0 (1:0),1958
Argentina,Irlanda del Norte,3:1 (1:1),1958
Alemania Federal,Checoslovaquia,2:2 (0:2),1958
Checoslovaquia,Argentina,6:1 (3:0),1958
Alemania Federal,Irlanda del Norte,2:2 (1:1),1958
Irlanda del Norte,Checoslovaquia,"2:1 (1:1, 1:0) (t. s.)",1958
Yugoslavia , Escocia,1:1 (1:0),1958
Francia , Paraguay,7:3 (2:2),1958
Yugoslavia,Francia,3:2 (1:1),1958
Paraguay , Escocia,3:2 (2:1),1958
Paraguay , Yugoslavia,3:3 (1:2),1958
Francia , Escocia,2:1 (2:0),1958
Suecia,México,3:0 (1:0),1958
Hungría,Gales,1:1 (1:1),1958
México,Gales,1:1 (0:1),1958
Suecia,Hungría,2:1 (1:0),1958
Suecia,Gales,0:0,1958
Hungría,México,4:0 (1:0),1958
Gales,Hungría,2:1 (0:1),1958
Unión Soviética,Inglaterra,2:2 (1:0),1958
Brasil,Austria,3:0 (1:0),1958
Unión Soviética,Austria,2:0 (1:0),1958
Brasil,Inglaterra,0:0,1958
